latency,type,valid,rotation,distance,block
1690.039524380758,body,1,6,10,1
1691.7720034569356,object,1,32,50,1
1693.3269479546143,body,1,178,4,1
1695.1038432505738,object,1,24,8,1
1697.0139862059877,face,1,53,1,1
1698.868798813157,object,1,81,11,1
1700.501261619007,object,1,75,4,1
1702.167242016294,object,1,73,11,1
1703.7998094228242,object,1,37,27,1
1705.7544556482026,face,0,23,4,1
1707.731360184407,object,0,7,40,1
1709.7414295097115,face,1,29,7,1
1711.5739396560966,face,1,113,2,1
1713.317458761696,object,1,83,73,1
1715.083300128128,body,1,62,6,1
1716.9270561056182,face,1,83,2,1
1718.5484124815266,face,1,15,2,1
1720.3143897488771,object,1,89,6,1
1721.8912720044464,body,1,5,1,1
1723.7793622012105,face,1,10,3,1
1725.3231073682546,face,1,111,2,1
1727.0111108239507,object,1,124,14,1
1728.8434754694608,face,1,4,3,1
1730.5873466776393,face,1,12,2,1
1732.4750863211375,face,1,8,4,1
1734.252066517627,body,1,52,8,1
1735.784721354852,face,1,8,3,1
1737.3729175419285,body,1,12,4,1
1739.360984308616,face,1,14,2,1
1741.3154197831172,body,1,96,2,1
1743.2373066732107,face,1,101,3,1
1745.0803085453226,face,1,9,6,1
1747.0683077114809,object,1,93,4,1
1748.7230873779918,body,1,140,9,1
1750.3890163750038,body,1,175,10,1
1752.1105174219847,body,1,109,9,1
1754.009609447894,body,1,140,6,1
1755.719859613353,face,1,114,2,1
1757.307905299298,object,1,129,2,1
1758.8739191267377,object,1,50,15,1
